"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Anthocharis cardamines","Aphantopus hyperantus","Aporia crataegi","Araschnia levana","Argynnis adippe","Argynnis aglaja","Argynnis niobe","Argynnis paphia","Boloria euphrosyne","Boloria selene","Brenthis ino","Callophrys rubi","Carterocephalus silvicola","Celastrina argiolus","Coenonympha glycerion","Coenonympha pamphilus","Colias palaeno","Erebia ligea","Euphydryas maturna","Gonepteryx rhamni","Issoria lathonia","Leptidea sinapis","Limenitis populi","Lycaena hippothoe","Lycaena phlaeas","Lycaena virgaureae","Melitaea athalia","Nymphalis antiopa","Nymphalis c-album","Nymphalis io","Nymphalis urticae","Ochlodes sylvanus","Papilio machaon","Pararge aegeria","Pararge maera","Pararge petropolitana","Parnassius mnemosyne","Pieris brassicae","Pieris daplidice","Pieris napi","Pieris rapae","Plebeius amandus","Plebeius argus","Plebeius artaxerxes","Plebeius eumedon","Plebeius icarus","Plebeius idas","Plebeius optilete","Plebeius semiargus","Pyrgus alveus","Pyrgus malvae","Satyrium pruni","Thecla betulae","Thymelicus lineola","Vanessa atalanta","Vanessa cardui"
"butterfly_dec_3_SB_SampleID_52",429417.000008851,6691940.00000317,2005,887.761399269105,5.7583332657814,136,-0.2675,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1
"butterfly_dec_3_SB_SampleID_53",429417.000004596,6691940.00000318,2006,654.642074584961,5.85833336909612,131,-0.2075,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1
"butterfly_dec_3_SB_SampleID_54",429417.000002321,6691940.00000726,2007,915.875564575196,6.24999982739488,85,0.173333333333333,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1
"butterfly_dec_3_SB_SampleID_55",425446.000000446,6693450.00000749,2003,716.308046340942,4.9083333214124,132,0.0975,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1
"butterfly_dec_3_SB_SampleID_56",425446.000008211,6693450.00000821,2004,1163.96753883362,5.19166665275891,145,0.2425,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"butterfly_dec_3_SB_SampleID_57",403569.000003953,6693689.00000787,2007,852.914855957031,6.24999999379118,83,0.173333333333333,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1
"butterfly_dec_3_SB_SampleID_58",321402.000001657,6694189.00000949,1999,797.242732524872,5.59166669845581,141,0.390833333333333,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0
"butterfly_dec_3_SB_SampleID_59",321402.000000935,6694189.00000866,2000,1066.18386268616,6.39999997615814,114,0.206666666666667,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1
"butterfly_dec_3_SB_SampleID_60",321402.000006206,6694189.00000487,2001,875.1944065094,5.1750000435859,154,-0.1825,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0
"butterfly_dec_3_SB_SampleID_61",321402.000006432,6694189.00000152,2002,756.528388500213,5.30833336897195,177,0.0391666666666667,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,1
