"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Andromeda polifolia","Betula nana","Betula pubescens","Calluna vulgaris","Carex globularis","Deschampsia flexuosa","Empetrum nigrum","Epilobium angustifolium","Equisetum sylvaticum","Geranium sylvaticum","Juniperus communis","Ledum palustre","Linnaea borealis","Luzula pilosa","Lycopodium annotinum","Melampyrum pratense","Picea abies","Pinus sylvestris","Populus tremula","Rubus chamaemorus","Solidago virgaurea","Sorbus aucuparia","Trientalis europaea","Vaccinium microcarpon","Vaccinium myrtillus","Vaccinium uliginosum","Vaccinium vitis-idaea"
"plant_dec_1_NB_SampleID_31",471840,7341830,1985,670.447072029114,-2.18333333730698,201,-0.183333333333333,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"plant_dec_1_NB_SampleID_32",503830,7341830,1985,632.754722595215,-2.49166676402091,201,-0.183333333333333,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"plant_dec_1_NB_SampleID_33",567800,7341830,1985,662.94047164917,-3.13333320617675,216,-0.183333333333333,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1
"plant_dec_1_NB_SampleID_34",599790,7341830,1985,654.245957374573,-3.43333315849303,205,-0.183333333333333,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"plant_dec_1_NB_SampleID_35",503830,7342430,1985,632.754722595215,-2.49166676402091,201,-0.183333333333333,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,1,1,1
"plant_dec_1_NB_SampleID_36",535810,7342430,1985,681.863772392273,-2.79166652758916,201,-0.183333333333333,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1
"plant_dec_1_NB_SampleID_37",567800,7342430,1985,662.94047164917,-3.13333320617675,216,-0.183333333333333,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"plant_dec_1_NB_SampleID_38",599790,7342430,1985,654.245957374573,-3.43333315849303,205,-0.183333333333333,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"plant_dec_1_NB_SampleID_39",503830,7343030,1985,632.754722595215,-2.49166676402091,201,-0.183333333333333,0,0,1,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1
"plant_dec_1_NB_SampleID_40",567800,7343030,1985,662.94047164917,-3.13333320617675,216,-0.183333333333333,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1
"plant_dec_1_NB_SampleID_41",599790,7343030,1985,654.245957374573,-3.43333315849303,205,-0.183333333333333,0,0,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1
