"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Alces alces","Canis lupus","Capreolus capreolus","Felis catus","Gulo gulo","Lepus europaeus","Lepus timidus","Lutra lutra","Lynx lynx","Mustela erminea","Mustela nivalis","Neovison vison","Nyctereutes procyonoides","Odocoileus virginianus","Rangifer tarandus fennicus","Sciurus vulgaris","Vulpes lagopus","Vulpes vulpes"
"mammals_dec_4_MB_SampleID_118",248220,6939600,2009,592.823745727539,3.93333325783412,121,-0.243333333333333,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1
"mammals_dec_4_MB_SampleID_119",248220,6939600,2011,821.043315887451,5.04166665921608,120,0.293333333333333,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1
"mammals_dec_4_MB_SampleID_120",248220,6939600,2013,811.30041885376,4.78333333631357,128,0.21,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1
"mammals_dec_4_MB_SampleID_121",248220,6939600,2017,763.519538879394,4.15833333134651,127,0.225833333333333,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1
"mammals_dec_4_MB_SampleID_122",303860,6939600,2008,817.751054763794,4.74166668082278,138,-0.378333333333333,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1
"mammals_dec_4_MB_SampleID_123",303860,6939600,2009,538.407316207886,3.60833340883255,132,-0.243333333333333,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
"mammals_dec_4_MB_SampleID_124",303860,6939600,2012,897.143640518188,3.12500004967054,145,-0.455833333333333,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
"mammals_dec_4_MB_SampleID_125",303860,6939600,2017,702.533392906189,4.02499996870756,124,0.225833333333333,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1
"mammals_dec_4_MB_SampleID_126",328790,6940030,2013,726.578834533691,4.50833325584731,153,0.21,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1
"mammals_dec_4_MB_SampleID_127",328790,6940030,2017,695.920072555541,3.88333338499069,165,0.225833333333333,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1
"mammals_dec_4_MB_SampleID_128",273590,6940880,2013,744.199154853821,4.70000009487073,129,0.21,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1
"mammals_dec_4_MB_SampleID_129",234230,6941440,2015,983.771524429321,5.64166657874982,80,0.433333333333333,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1
"mammals_dec_4_MB_SampleID_130",234230,6941440,2016,775.225008964538,4.450000072519,128,-0.0383333333333333,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1
"mammals_dec_4_MB_SampleID_131",234230,6941440,2017,769.629799842834,4.37499998013178,107,0.225833333333333,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"mammals_dec_4_MB_SampleID_132",412180,6942020,2008,1138.69679832458,4.34166668231288,155,-0.378333333333333,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
"mammals_dec_4_MB_SampleID_133",388110,6944290,2009,685.905923843384,3.06666669994592,158,-0.243333333333333,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"mammals_dec_4_MB_SampleID_134",388110,6944290,2011,1015.86586093903,4.24166659514108,142,0.293333333333333,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
"mammals_dec_4_MB_SampleID_135",296860,6944750,2009,542.334945678711,3.73333326975505,125,-0.243333333333333,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1
"mammals_dec_4_MB_SampleID_136",296860,6944750,2016,689.369337081909,4.23333342870075,133,-0.0383333333333333,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1
"mammals_dec_4_MB_SampleID_137",228940,6946430,2012,912.647045135498,3.65833335121472,133,-0.455833333333333,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
"mammals_dec_4_MB_SampleID_138",228940,6946430,2014,778.347841262817,5.53333330154419,72,0.186666666666667,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1
"mammals_dec_4_MB_SampleID_139",228940,6946430,2015,1001.3177690506,5.90833336611589,71,0.433333333333333,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1
"mammals_dec_4_MB_SampleID_140",228940,6946430,2017,773.639116287231,4.62499996771415,90,0.225833333333333,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1
"mammals_dec_4_MB_SampleID_141",421410,6949490,2014,663.366951942444,5.03333339343469,91,0.186666666666667,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1
"mammals_dec_4_MB_SampleID_142",283010,6949730,2010,662.672376632691,2.26666661103567,167,-1.1525,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1
