"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Alces alces","Canis lupus","Capreolus capreolus","Felis catus","Lepus europaeus","Lepus timidus","Lutra lutra","Lynx lynx","Mustela erminea","Mustela nivalis","Neovison vison","Nyctereutes procyonoides","Odocoileus virginianus","Sciurus vulgaris","Vulpes lagopus","Vulpes vulpes"
"mammals_dec_3_SB_SampleID_121",348430,6691390,2007,907.926696777343,6.12500002980232,84,0.173333333333333,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1
"mammals_dec_3_SB_SampleID_122",409910,6691660,2000,868.145858764648,6.46666666865349,83,0.206666666666667,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1
"mammals_dec_3_SB_SampleID_123",409910,6691660,2003,645.806882858276,4.99166659514109,127,0.0975,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1
"mammals_dec_3_SB_SampleID_124",409910,6691660,2004,1158.9532418251,5.22500012318292,135,0.2425,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1
"mammals_dec_3_SB_SampleID_125",338560,6691880,2001,808.173610687256,5.31666663289069,148,-0.1825,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1
"mammals_dec_3_SB_SampleID_126",375890,6692780,2006,614.356793403626,6.04166672627132,131,-0.2075,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1
"mammals_dec_3_SB_SampleID_127",347110,6692850,2002,649.321869850159,5.44166667883595,174,0.0391666666666667,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1
"mammals_dec_3_SB_SampleID_128",347110,6692850,2003,599.501619338989,5.01666672031085,124,0.0975,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1
"mammals_dec_3_SB_SampleID_129",413010,6692860,2001,928.491436004639,5.20000008245309,142,-0.1825,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1
"mammals_dec_3_SB_SampleID_130",359600,6694340,1998,1072.66921424866,4.64166672031084,153,-0.480833333333333,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1
"mammals_dec_3_SB_SampleID_131",433770,6694480,2005,857.992946624756,5.62500014901161,137,-0.2675,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1
"mammals_dec_3_SB_SampleID_132",298480,6694970,1998,945.840942382812,4.78333329161008,151,-0.480833333333333,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1
"mammals_dec_3_SB_SampleID_133",298480,6694970,2007,1001.21950817108,6.12500010927517,89,0.173333333333333,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1
"mammals_dec_3_SB_SampleID_134",373090,6695160,2003,593.209931373596,4.97499990463256,127,0.0975,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1
"mammals_dec_3_SB_SampleID_135",385580,6695380,2001,855.381416320801,5.30000000695387,139,-0.1825,1,0,1,1,1,1,0,0,0,1,0,1,1,1,0,1
"mammals_dec_3_SB_SampleID_136",283220,6695610,2006,683.931093215942,6.3416666785876,133,-0.2075,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,1
"mammals_dec_3_SB_SampleID_137",381790,6695710,2001,869.266683578491,5.26666666567325,146,-0.1825,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1
"mammals_dec_3_SB_SampleID_138",381790,6695710,2002,598.933742523193,5.44999999428788,177,0.0391666666666667,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1
