"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Alces alces","Capreolus capreolus","Gulo gulo","Lepus timidus","Lutra lutra","Lynx lynx","Mustela erminea","Mustela nivalis","Neovison vison","Nyctereutes procyonoides","Sciurus vulgaris","Vulpes lagopus","Vulpes vulpes"
"mammals_dec_4_NB_SampleID_105",540550,7290270,2014,777.706434249878,1.99999996833503,213,0.186666666666667,1,0,0,1,0,0,0,0,0,1,0,1,0
"mammals_dec_4_NB_SampleID_106",540550,7290270,2015,1224.39092254639,2.29166670143604,196,0.433333333333333,0,0,0,1,0,0,1,0,0,0,1,1,1
"mammals_dec_4_NB_SampleID_107",540550,7290270,2016,925.239307403564,1.91666664679845,191,-0.0383333333333333,0,0,0,1,0,0,0,0,0,0,1,1,1
"mammals_dec_4_NB_SampleID_108",540550,7290270,2017,772.334758758545,0.983333324392642,219,0.225833333333333,1,0,0,1,0,0,0,0,0,1,1,1,1
"mammals_dec_4_NB_SampleID_109",563240,7292900,2008,988.230098724366,1.27499998609225,205,-0.378333333333333,1,0,0,1,1,0,0,0,0,0,1,1,1
"mammals_dec_4_NB_SampleID_110",563240,7292900,2009,766.379985809327,0.691666503747312,212,-0.243333333333333,1,0,0,1,0,0,0,0,0,0,0,0,1
"mammals_dec_4_NB_SampleID_111",563240,7292900,2010,771.265514373779,-0.383333404858905,201,-1.1525,1,0,0,0,0,0,0,0,0,0,0,0,0
"mammals_dec_4_NB_SampleID_112",563240,7292900,2012,1022.9835319519,-0.133333380023634,208,-0.455833333333333,1,0,0,1,1,0,0,1,0,0,1,1,1
"mammals_dec_4_NB_SampleID_113",563240,7292900,2013,897.534339904785,1.74166672428449,200,0.21,1,0,0,1,1,0,0,0,0,0,1,1,1
"mammals_dec_4_NB_SampleID_114",563240,7292900,2014,794.013233184814,1.76666675197582,216,0.186666666666667,0,0,0,1,1,0,0,0,0,0,1,1,1
"mammals_dec_4_NB_SampleID_115",563240,7292900,2017,824.709646224976,0.791666666666664,221,0.225833333333333,1,0,0,0,0,0,0,0,0,0,0,1,1
"mammals_dec_4_NB_SampleID_116",596440,7296570,2015,1063.41139221191,2.1583332940936,194,0.433333333333333,1,0,0,1,0,0,0,1,0,0,1,0,1
"mammals_dec_4_NB_SampleID_117",596440,7296570,2016,859.047460556031,1.89166661103566,191,-0.0383333333333333,0,0,0,1,1,0,0,0,0,1,1,1,1
"mammals_dec_4_NB_SampleID_118",596440,7296570,2017,866.683551788331,0.816666692495343,221,0.225833333333333,0,0,0,1,0,0,0,0,0,0,1,1,1
"mammals_dec_4_NB_SampleID_119",524260,7300250,2011,1009.38304901123,2.16666670640309,162,0.293333333333333,0,0,0,1,1,0,0,1,1,1,1,1,1
"mammals_dec_4_NB_SampleID_120",524260,7300250,2015,1210.81391906738,2.38333338002364,196,0.433333333333333,1,0,0,1,1,0,0,1,0,0,1,1,1
"mammals_dec_4_NB_SampleID_121",524260,7300250,2016,909.866336822511,1.99166663487751,190,-0.0383333333333333,0,0,0,1,1,0,0,1,0,1,1,1,1
"mammals_dec_4_NB_SampleID_122",512790,7300700,2008,919.038875579835,1.82499992350738,189,-0.378333333333333,1,0,0,1,0,0,0,0,0,0,0,0,1
"mammals_dec_4_NB_SampleID_123",497890,7301240,2008,918.522409439087,1.85833327348034,188,-0.378333333333333,1,0,0,1,0,0,0,0,0,0,1,1,1
"mammals_dec_4_NB_SampleID_124",497890,7301240,2009,725.4973487854,1.1916666030884,212,-0.243333333333333,0,0,0,1,1,0,0,0,0,0,0,1,1
"mammals_dec_4_NB_SampleID_125",497890,7301240,2010,730.892786979675,-0.0916665295759843,182,-1.1525,0,0,0,1,0,0,0,0,0,0,0,0,1
"mammals_dec_4_NB_SampleID_126",497890,7301240,2011,907.601125717163,2.43333336710931,154,0.293333333333333,1,0,0,0,0,0,0,0,0,0,1,1,0
"mammals_dec_4_NB_SampleID_127",497890,7301240,2012,940.645942687988,0.433333347241084,201,-0.455833333333333,0,0,0,1,0,0,0,1,0,1,1,1,1
"mammals_dec_4_NB_SampleID_128",497890,7301240,2013,871.787029266358,2.12500004470348,192,0.21,1,0,0,1,0,0,0,0,0,0,1,0,1
"mammals_dec_4_NB_SampleID_129",497890,7301240,2014,774.016330718994,2.43333341429632,184,0.186666666666667,1,0,0,1,0,0,0,0,0,0,0,0,1
"mammals_dec_4_NB_SampleID_130",497890,7301240,2015,1116.74426651001,2.65833324193955,187,0.433333333333333,0,0,0,1,0,0,0,0,0,1,1,1,1
"mammals_dec_4_NB_SampleID_131",497890,7301240,2016,856.693291664124,2.1833333571752,185,-0.0383333333333333,0,0,0,1,1,0,0,0,0,1,1,1,1
"mammals_dec_4_NB_SampleID_132",497890,7301240,2017,696.997943878174,1.29999993244808,213,0.225833333333333,1,0,0,1,0,0,0,1,0,0,1,1,1
"mammals_dec_4_NB_SampleID_133",633850,7302390,2009,745.863582611083,0.524999896685275,212,-0.243333333333333,1,0,0,1,1,0,0,0,0,0,1,1,1
"mammals_dec_4_NB_SampleID_134",633850,7302390,2017,844.15247631073,0.683333347241084,222,0.225833333333333,1,0,1,1,0,0,0,0,0,0,0,0,1
"mammals_dec_4_NB_SampleID_135",598960,7311660,2015,1022.41666793823,1.99166671931743,193,0.433333333333333,0,0,0,1,0,0,0,0,0,0,1,1,1
"mammals_dec_4_NB_SampleID_136",491100,7312240,2009,672.964250564575,1.25833329558373,212,-0.243333333333333,0,0,0,1,1,0,0,1,0,1,0,1,1
"mammals_dec_4_NB_SampleID_137",491100,7312240,2013,828.773441314698,2.13333320120971,192,0.21,1,0,0,1,0,0,0,0,0,0,0,1,1
"mammals_dec_4_NB_SampleID_138",491100,7312240,2015,1074.07340431213,2.76666661103567,187,0.433333333333333,0,0,0,1,1,0,0,1,1,0,1,1,1
"mammals_dec_4_NB_SampleID_139",491100,7312240,2016,839.414959907531,2.23333327968916,184,-0.0383333333333333,0,0,0,1,0,0,0,1,0,0,0,1,1
"mammals_dec_4_NB_SampleID_140",541420,7313180,2008,996.405460357667,1.27499994635582,202,-0.378333333333333,0,0,0,1,0,0,0,0,0,0,1,1,1
"mammals_dec_4_NB_SampleID_141",541420,7313180,2009,779.88635635376,0.708333243926376,211,-0.243333333333333,0,0,0,1,0,0,0,0,0,0,1,0,1
"mammals_dec_4_NB_SampleID_142",541420,7313180,2010,808.204301834106,-0.449999988079086,198,-1.1525,0,0,0,1,0,0,0,0,0,0,1,0,1
"mammals_dec_4_NB_SampleID_143",541420,7313180,2011,1005.37130355835,1.98333328962327,159,0.293333333333333,0,0,0,1,0,0,0,0,0,0,1,0,1
"mammals_dec_4_NB_SampleID_144",541420,7313180,2012,1023.39493179321,-0.116666674613944,209,-0.455833333333333,0,0,0,1,0,0,0,0,0,0,1,0,1
"mammals_dec_4_NB_SampleID_145",541420,7313180,2013,896.150955200196,1.67499990264575,201,0.21,0,0,0,1,0,0,0,0,0,0,1,0,1
"mammals_dec_4_NB_SampleID_146",541420,7313180,2014,807.053649902344,1.81666666455566,208,0.186666666666667,0,0,0,1,0,0,0,0,0,0,1,0,1
"mammals_dec_4_NB_SampleID_147",541420,7313180,2015,1238.39239120483,2.11666664481163,196,0.433333333333333,0,0,0,1,0,0,0,0,0,0,1,0,1
"mammals_dec_4_NB_SampleID_148",541420,7313180,2016,939.102237701417,1.81666658322016,190,-0.0383333333333333,0,0,0,1,0,0,0,0,0,0,1,0,1
"mammals_dec_4_NB_SampleID_149",541420,7313180,2017,787.082429885864,0.808333406845731,217,0.225833333333333,0,0,0,1,0,0,0,0,0,0,1,0,1
"mammals_dec_4_NB_SampleID_150",533600,7319120,2015,1193.30728530884,2.22499994933605,197,0.433333333333333,1,0,0,0,0,0,0,0,0,0,0,1,1
"mammals_dec_4_NB_SampleID_151",533600,7319120,2016,907.435213088989,1.87500005960464,190,-0.0383333333333333,1,0,0,1,0,0,0,1,0,0,1,1,1
"mammals_dec_4_NB_SampleID_152",533600,7319120,2017,753.898517608643,0.883333360155427,221,0.225833333333333,1,0,0,1,1,0,0,0,0,0,0,1,1
"mammals_dec_4_NB_SampleID_153",483000,7323200,2008,885.532279968262,1.94166663475335,193,-0.378333333333333,1,0,0,1,0,0,0,0,0,0,1,0,1
"mammals_dec_4_NB_SampleID_154",624300,7331450,2016,831.769456863403,1.68333331743876,191,-0.0383333333333333,1,0,0,1,1,0,1,0,0,0,0,1,1
"mammals_dec_4_NB_SampleID_155",624300,7331450,2017,802.945253372192,0.500000014901164,223,0.225833333333333,1,0,0,1,0,0,0,0,0,0,0,1,1
"mammals_dec_4_NB_SampleID_156",580320,7333170,2014,739.505962371827,1.69166657080253,212,0.186666666666667,1,0,0,1,0,0,0,0,1,0,1,1,1
"mammals_dec_4_NB_SampleID_157",580320,7333170,2015,1062.77730751038,2.12500000248352,197,0.433333333333333,1,0,0,1,0,0,0,0,1,1,1,1,1
"mammals_dec_4_NB_SampleID_158",580320,7333170,2016,861.746222496031,1.84166675806047,191,-0.0383333333333333,1,0,0,1,0,0,0,1,0,0,0,1,1
"mammals_dec_4_NB_SampleID_159",580320,7333170,2017,770.058250427246,0.741666595141093,219,0.225833333333333,1,0,0,1,1,0,0,1,0,0,1,0,1
"mammals_dec_4_NB_SampleID_160",611970,7334410,2015,996.678150177001,1.75000003601114,194,0.433333333333333,1,0,1,1,0,0,1,0,0,0,0,0,1
"mammals_dec_4_NB_SampleID_161",611970,7334410,2016,870.453938484191,1.64166674017906,191,-0.0383333333333333,1,0,0,1,0,0,0,1,1,0,0,0,1
"mammals_dec_4_NB_SampleID_162",585490,7338660,2017,794.692840576172,0.416666639347872,221,0.225833333333333,1,0,0,1,0,0,0,0,0,0,0,1,1
